Alacak Senetleri;750000;2480000;
AlacakSenetleri;46680504;29422000;
Alıcılar;70336450;54087952;123178247
Alınan Çekler;126901939;179790922;2879859
Alınan Diğer Avanslar;;;92201
Alınan Sipariş Avansları;11357082;91269761;2372794
Arazi ve Arsalar;;;4896220
AT-TOPLAM DÖNEN VARLIKLAR;347858095;470006183;593442796
Banka Kredileri;9528373;112138274;188419333
Bankalar;2476941;2010745;67891061
Binalar;8616392;13490060;2516648
Birikmiş Amortismanlar (-);1327140;1837691;250075780
Borç Senetleri;226777845;183821414;5994207
BT- TOPLAM DURAN VARLIKLAR;14935141;29254900;295577597
BTT- TOPLAM AKTİFLER;362793236;499261084;889020393
CT- Kısa Vadeli Yabancı Kaynaklar Toplamı;332153470;409575255;492716690
Demirbaşlar;125788;228329;10536355
Devreden KDV;3004794;820347;181479
Diğer Çeşitli Alacaklar;;;49618734
Diğer Hazır Değerler;1183218;2220317;
Diğer Maddi Duran Varlıklar;;;1260003
Diğer Mali Borçlar;511753;;
Diğer Menkul Kıymetler;11000000;0;
Diğer Sermaye Yedekleri;;;9804594
Diğer Stoklar;29472;165003;
Diğer Ticari Alacaklar;;;44855626
Diğer Ticari Borçlar;;;152701
Dönem Karı Peşin Ödenen Vergi ve Diğer Yük. (-);445942;568032;
Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılığı;475042;823312;112254
DT- Uzun Vadeli Yabancı Kaynaklar Toplamı;347243;24435090;195705972
E5-Dönem Kar/Zarar;1590361;;2947874
Ertelenmiş Finansal Kiralama Borçlanma Maliyetleri (-);;;1254256
ETT- TOPLAM PASİFLER;362793236;499261084;889020393
ET-TOPLAM ÖZKAYNAKLAR;30292522;65250738;200597730
Faktoring Alacakları;;;6129031
Finansal Kiralama İşlemlerinden Borçlar;;;5121413
Geçmiş Yıllar Karları;;;95621268
Geçmiş Yıllar Zararları;;45525261;
Gelecek Aylara Ait Giderler;;;8988182
Gelecek Yıllara Ait Giderler;48794;296;54508663
Haklar;7077;9800;68702517
İlk Madde ve Malzeme;929628;2672508;
İndirilecek KDV;;;0
İş Avansları;;;143446444
Kasa;69253;388618;20414
Leasingler;;;251324
M.D.V. Yeniden Değerleme Artışları;8702161;;0
Ortaklara Borçlar;37224002;145613;24694841
Ortaklardan Alacaklar;;;92761272
Ödenecek Diğer Yükümlülükler;;;16597
Ödenecek Sosyal Güvenlik Kesintileri;47231;114298;247008
Ödenecek Vergi ve Fonlar;175910;21234;14963617
Özel Fonlar;;;56376092
Özel Maliyetler;5203;7204;3499000
Personele Borçlar;;156918;189963
Peşin Ödenen Vergi ve Fonlar;;9578;23198
Satıcılar;46502169;21652460;377948127
Sermaye;20000000;80000000;30000000
Sermaye Düzeltmesi Olumlu Farkları;;30776000;5847900
Taşıtlar;6699009;14100859;393217175
Tesis, Makina ve Cihazlar;10015;776040;24525
Ticari Mallar;63898884;44125473;
Verilen Çek ve Ödeme Emirleri (-);7085000;8672856;17241710
Verilen Depozito ve Teminatlar;415;415;11073
Verilen Sipariş Avansları;28431591;162965154;76828911
Yapılmakta Olan Yatırımlar;;;612615
Yasal Yedekler;;;0
" Genel Üretim Giderleri Hesabı";0;0;0
" Hizmet Üretim Maliyeti";0;0;0
Bağlı Ortaklıklardan Temettü Geliri;0;0;0
C-Net Satışlar;305758705;496777859;500359237
Çalışmayan Kısım Gider ve Zararları (-);0;0;0
Diğer Gelirler;13490863;36120218;2727757
Diğer İndirimler (-);15875;268960;0
Diğer Olağandışı Gelir ve Karlar;0;0;28257
Diğer Olağandışı Gider ve Zararlar (-);0;0;581497
Diğer Satışların Maliyeti (-);154888;0;0
Direkt İlk Madde ve Malzeme;0;0;0
Direkt İlk Madde ve Malzeme Yansıtma;0;0;0
Direkt İşçilik Giderleri;0;0;0
Direkt İşçilik Giderleri Yansıtma;0;0;0
E-Brüt Kar/Zararı;5786756;28917705;20814369
Faaliyetle İlgili Diğer Olağan Gelirler ve Karlar;2874;3;0
Faaliyetle İlgili Diğer Olağan Gider ve Zararlar (-);4;9;7391744
Faiz Geliri;467339;301213;387323
F-Genel Yönetim Giderleri (-);370228;235979;18579175
Genel Üretim Giderleri Hesabı Yansıtma;0;0;0
G-Pazarlama Giderleri (-);2798214;5108113;0
H-Araştırma ve Geliştirme Giderleri (-);0;0;0
Hizmet Üretim Maliyeti Yansıtma;0;0;0
İştiraklerden Temettü Gelirleri;0;0;0
J-Esas Faaliyet Karı/Zararı;2618313;23573613;2235194
Kambiyo Karları;0;0;0
Kambiyo Zararları (-);0;0;0
Karşılık Giderleri (-);0;0;0
Komisyon Gelirleri;0;0;0
Komisyon Giderleri (-);0;0;0
Konusu Kalmayan Karşılıklar;0;0;0
Menkul Kıymetler Satış Karları;0;0;0
M-FİNANSMAN GİDERİ ÖNCESİ FAALİYET KARI ZARARI;3088523;23874820;4769227
N-Finansman Giderleri;1023119;20581570;9515477
O-OLAĞAN KAR VEYA  ZARAR;2065404;3293249;14284704
Önceki Dönem Gelir ve Karları;0;0;0
Önceki Dönem Gider ve Zararları (-);0;0;0
Reeskont Faiz Gelirleri;0;0;0
Reeskont Faiz Giderleri (-);0;0;0
Satılan Hizmet Maliyeti (-);0;0;479544867
Satılan Mamuller Maliyeti (-);7297190;20593985;0
Satılan Ticari Mallar Maliyeti (-);292519870;447266168;0
Satış Iskontoları (-);402292;1571347;0
Satış İadeleri (-);6802494;46620436;3618944
Yatırım Faaliyetlerinden Giderler;0;0;0
Yurtdışı Satışlar;0;0;0
Yurtiçi Satışlar;299488504;509118385;501250423
Z1-DÖNEM KARI VERGİ VE DİĞ.YASAL YÜKÜMLÜLÜK KARŞILIĞI;475042;823312;0
Z-DÖNEM KARI/ZARARI;2065404;3293249;2947874
ZT-DÖNEM NET KARI/ZARARI;1590361;2469936;2947874
