Alıcılar;52774527.32;53172960.69;64657064.12;81951979.39
Alınan Çekler;50000.96;723771.38;2574475.85;1020000.96
Alınan Sipariş Avansları;1663710.92;823553.17;28219923.45;3909415.17
AT-TOPLAM DÖNEN VARLIKLAR;130300663.71;83235503.14;182648166.58;233150328.64
Banka Kredileri;80000000;;55000000;100000000
Bankalar;256125.54;1673602.2;996653.83;4956352.14
Birikmiş Amortismanlar (-);1619897.62;5774786.37;7574769.23;7567178.1
BT- TOPLAM DURAN VARLIKLAR;3379454.3399999994;34124676.120000005;58475329.85000001;58694160.53
BTT- TOPLAM AKTİFLER;133680118.05;117360179.26;241123496.43000004;291844489.16999984
CT- Kısa Vadeli Yabancı Kaynaklar Toplamı;115141397.81000002;63603727.92999999;162274764.88000005;212567707.72999996
Demirbaşlar;208107.34;2135790.2;2831667.94;2999419.15
Devreden KDV;380422.28;593534.27;969019.43;1041459.44
Diğer Çeşitli Alacaklar;6293122.16;8741198.7;16006548.95;21825571.63
Diğer Çeşitli Borçlar;7222731.11;8988833.2;15060762.48;21224657.32
Diğer Hazır Değerler;587899.3;5118065.4;2584025.73;3318883.25
Diğer KDV;;;;106723.84
Diğer Stoklar;330236.5;15294.93;74504.29;998185.48
Dönem Karı Peşin Ödenen Vergi ve Diğer Yük. (-);352352.8;428186.03;2021971.85;
Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılığı;352352.8;840334.41;3086695.11;
E5-Dönem Kar/Zarar;1179615;2433579;9589576;428049
ETT- TOPLAM PASİFLER;133680118.05000001;117360179.25999999;241123496.43000007;291844489.16999996
ET-TOPLAM ÖZKAYNAKLAR;18538720.24;53756451.330000006;78848731.55;79276781.44000001
Geçmiş Yıllar Karları;14845140.43;16024756.34;23781493.97;33371070.11
Gelecek Aylara Ait Giderler;;;15954.42;12066526.79
Gelecek Yıllara Ait Giderler;1823584.98;112971.31;13617035.06;13793331.14
Haklar;8388.66;151969.31;195795.4;195795.4
İş Avansları;325.33;325.33;325.33;325.33
İştirakler;733060.16;10485720.73;13509674.53;13509674.53
Kasa;116498.51;539567.22;214869.8;114776.62
Kuruluş ve Örgütlenme Giderleri;4230.43;107391.69;138362.14;138362.14
Maddi Olmayan Duran Varlıklar-Diğer;12302.75;291876.26;11925.78;11925.78
Mamuller;7119.31;7326.72;13062.47;858465.89
Ortaklara Borçlar;220334.78;289930;326703.19;706142.45
Ödenecek Diğer Yükümlülükler;4678.64;61663.28;58714.28;45957.28
Ödenecek Sosyal Güvenlik Kesintileri;240262.45;559713.48;572481.33;743150.68
Ödenecek Vergi ve Fonlar;36806.79;129413.73;296704.03;425791.06
Özel Maliyetler;;;360684.78;360684.78
Personele Borçlar;246457.86;568654.13;1196468.34;5863320.07
Peşin Ödenen Vergi ve Fonlar;153327.16;232175.59;232175.59;596974.25
Satıcılar;25506415.26;51769818.56;60478284.52;79649273.7
Sermaye;2500000;2500000;3220969.47;3220969.47
Sermaye Düzeltmesi Olumlu Farkları;10336.18;32724263.83;42161541.88;42161541.88
Şüpheli Ticari Alacak Karşılığı (-);234386.38;234386.38;234386.38;234386.38
Şüpheli Ticari Alacaklar;234386.38;234386.38;234386.38;234386.38
Taşıtlar;282164.31;3014813.69;5093582.74;4960775
Tesis, Makina ve Cihazlar;1947146.7;23963134.34;30814462.97;30814462.97
Ticari Mallar;5149377.91;10773152.57;17206008.92;38879209.42
Verilen Sipariş Avansları;64201681.43;1644528.14;77094455.38;65405871.74
Yarı Mamuller;;;9022.47;9022.47
Yasal Yedekler;3627.72;73852.06;95150.09;95150.09
" Genel Üretim Giderleri Hesabı";0;0;0;0
" Hizmet Üretim Maliyeti";0;0;0;0
Bağlı Ortaklıklardan Temettü Geliri;0;0;0;0
C-Net Satışlar;191638444.69;292780840.18;573147538.72;549327143.79
Çalışmayan Kısım Gider ve Zararları (-);0;0;0;0
Diğer Gelirler;121651.64;268144.64;567113.17;497199.53
Diğer İndirimler (-);0;0;0;0
Diğer Olağandışı Gelir ve Karlar;32527.23;1494.92;33330.98;2534607.14
Diğer Olağandışı Gider ve Zararlar (-);103175.84;15666.89;313260.98;428254.71
Diğer Satışların Maliyeti (-);0;741838.89;611948.66;0
Direkt İlk Madde ve Malzeme;0;0;0;0
Direkt İlk Madde ve Malzeme Yansıtma;0;0;0;0
Direkt İşçilik Giderleri;0;0;0;0
Direkt İşçilik Giderleri Yansıtma;0;0;0;0
